"Rank","Player","Team","Bye","POS","ESPN","Sleeper","AVG"
"1","Jonathan Taylor","IND","14 ","RB1","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB2","2","2","2.0"
"3","Derrick Henry","BAL","10","RB3","5","3","4.0"
"4","Cooper Kupp","SEA","11 ","WR1","3","5","4.0"
"5","Austin Ekeler","WAS","14","RB4","4","4","4.0"
"6","Justin Jefferson","MIN","7","WR2","6","6","6.0"
"7","Dalvin Cook","","","RB5","9","7","8.0"
"8","Ja'Marr Chase","CIN","10","WR3","7","9","8.0"
"9","Najee Harris","LAC","8","RB6","8","8","8.0"
"10","Joe Mixon","HOU","6","RB7","12","10","11.0"
"11","Davante Adams","LAR","7","WR4","11","12","11.5"
"12","Stefon Diggs","NE","10","WR5","13","11","12.0"
"13","Alvin Kamara","NO","14","RB8","10","15","12.5"
"14","D'Andre Swift","CHI","14","RB9","15","14","14.5"
"15","Travis Kelce","KC","8","TE1","17","13","15.0"
"16","Deebo Samuel Sr.","WAS","14","WR6","14","21","17.5"
"17","Tyreek Hill","MIA","11","WR7","16","20","18.0"
"18","CeeDee Lamb","DAL","9","WR8","19","17","18.0"
"19","Aaron Jones Sr.","MIN","7","RB10","21","18","19.5"
"20","Leonard Fournette","","","RB11","18","25","21.5"
"21","Mark Andrews","BAL","10","TE2","20","23","21.5"
"22","Nick Chubb","HOU","6","RB12","28","16","22.0"
"23","Josh Allen","BUF","7","QB1","22","22","22.0"
"24","Saquon Barkley","PHI","7","RB13","26","19","22.5"
"25","Javonte Williams","DAL","9 ","RB14","23","24","23.5"
"26","Keenan Allen","","","WR9","24","27","25.5"
"27","Mike Evans","TB","11","WR10","27","26","26.5"
"28","James Conner","ARI","13","RB15","25","30","27.5"
"29","Patrick Mahomes II","KC","8","QB2","29","32","30.5"
"30","A.J. Brown","PHI","7","WR11","34","28","31.0"
"31","Tee Higgins","CIN","10","WR12","30","33","31.5"
"32","Michael Pittman Jr.","IND","14","WR13","31","35","33.0"
"33","Kyle Pitts","ATL","14 ","TE3","35","31","33.0"
"34","Ezekiel Elliott","","","RB16","38","29","33.5"
"35","Cam Akers","NO","14","RB17","33","37","35.0"
"36","Justin Herbert","LAC","8","QB3","36","34","35.0"
"37","DJ Moore","CHI","14","WR14","32","42","37.0"
"38","Terry McLaurin","WAS","14","WR15","37","38","37.5"
"39","George Kittle","SF","9","TE4","41","36","38.5"
"40","David Montgomery","DET","6","RB18","40","40","40.0"
"41","Travis Etienne Jr.","JAC","11","RB19","45","39","42.0"
"42","Lamar Jackson","BAL","10","QB4","42","43","42.5"
"43","Darren Waller","MIA","11","TE5","47","41","44.0"
"44","Diontae Johnson","CLE","9","WR16","43","45","44.0"
"45","Jaylen Waddle","MIA","11","WR17","44","44","44.0"
"46","Mike Williams","","","WR18","39","50","44.5"
"47","DK Metcalf","PIT","9","WR19","46","48","47.0"
"48","Breece Hall","NYJ","10 ","RB20","48","46","47.0"
"49","Courtland Sutton","DEN","9","WR20","51","47","49.0"
"50","Jerry Jeudy","CLE","9","WR21","50","51","50.5"
"51","Josh Jacobs","GB","14","RB21","54","49","51.5"
"52","Kyler Murray","ARI","13 ","QB5","52","53","52.5"
"53","J.K. Dobbins","DEN","9","RB22","55","54","54.5"
"54","Brandin Cooks","NO","14","WR22","49","61","55.0"
"55","Dalton Schultz","HOU","6","TE6","57","55","56.0"
"56","Marquise Brown","KC","8","WR23","53","60","56.5"
"57","Jalen Hurts","PHI","7","QB6","56","62","59.0"
"58","Elijah Mitchell","KC","8","RB23","62","58","60.0"
"59","Chris Godwin","TB","11","WR24","59","65","62.0"
"60","Joe Burrow","CIN","10","QB7","74","52","63.0"
"61","Allen Robinson II ","","","WR25","69","57","63.0"
"62","Amon-Ra St. Brown","DET","6","WR26","58","68","63.0"
"63","Clyde Edwards-Helaire","NO","14","RB24","60","67","63.5"
"64","Amari Cooper","","","WR27","70","59","64.5"
"65","T.J. Hockenson","MIN","7","TE7","67","64","65.5"
"66","JuJu Smith-Schuster","KC","8","WR28","65","69","67.0"
"67","Gabe Davis","","","WR29","61","75","68.0"
"68","Darnell Mooney","ATL","14 ","WR30","63","73","68.0"
"69","Michael Thomas ","","","WR31","71","66","68.5"
"70","Tom Brady","","","QB8","64","74","69.0"
"71","Antonio Gibson","NE","10 ","RB25","84","56","70.0"
"72","Adam Thielen","CAR","13","WR32","73","70","71.5"
"73","Russell Wilson","NYG","9","QB9","77","72","74.5"
"74","Dallas Goedert","PHI","7","TE8","79","71","75.0"
"75","Hunter Renfrow","CAR","13","WR33","72","82","77.0"
"76","Miles Sanders","DAL","9","RB26","76","78","77.0"
"77","Devin Singletary","NYG","9","RB27","66","89","77.5"
"78","Aaron Rodgers","PIT","9","QB10","68","90","79.0"
"79","Rashod Bateman","BAL","10 ","WR34","83","76","79.5"
"80","A.J. Dillon","PHI","7","RB28","97","63","80.0"
"81","Kareem Hunt","KC","8","RB29","81","80","80.5"
"82","Dak Prescott","DAL","9","QB11","75","91","83.0"
"83","Damien Harris","","","RB30","89","79","84.0"
"84","Zach Ertz","WAS","14 ","TE9","86","83","84.5"
"85","DeVonta Smith","PHI","7","WR35","85","86","85.5"
"86","Cordarrelle Patterson","","","RB31","92","81","86.5"
"87","Dameon Pierce","HU","6 O","RB32","78","96","87.0"
"88","Buffalo Bills","DST","7","DST1","80","94","87.0"
"89","DeAndre Hopkins","BAL","10","WR36","98","77","87.5"
"90","Tony Pollard","TEN","6","RB33","95","84","89.5"
"91","Chase Edmonds","","","RB34","94","87","90.5"
"92","Elijah Moore","BUF","7","WR37","91","92","91.5"
"93","Drake London","ATL","14","WR38","96","88","92.0"
"94","Dawson Knox","BUF","7","TE10","101","85","93.0"
"95","Christian Kirk","HOU","6","WR39","82","105","93.5"
"96","Matthew Stafford","LAR","7 ","QB12","87","100","93.5"
"97","Tyler Lockett","TEN","6","WR40","90","99","94.5"
"98","Allen Lazard","NYJ","10","WR41","99","93","96.0"
"99","Rhamondre Stevenson","NE","10","RB35","93","101","97.0"
"100","Rashaad Penny ","","","RB36","106","95","100.5"
"101","Brandon Aiyuk","SF","9","WR42","103","98","100.5"
"102","Chris Olave","NO","14","WR43","109","102","105.5"
"103","Trey Lance","LAC","8 ","QB13","104","107","105.5"
"104","Pat Freiermuth","PIT","9","TE11","108","104","106.0"
"105","Tampa Bay Buccaneers","DST","11","DST2","107","112","109.5"
"106","Justin Tucker","","","K1","88","132","110.0"
"107","Robert Woods","PIT","9","WR44","110","110","110.0"
"108","Chase Claypool","","","WR45","111","114","112.5"
"109","Melvin Gordon","III","","RB37","117","109","113.0"
"110","Kenneth Walker III","SEA","11","RB38","132","97","114.5"
"111","Kadarius Toney","","","WR46","112","117","114.5"
"112","Derek Carr","","","QB14","114","115","114.5"
"113","James Cook","BUF","7","RB39","128","103","115.5"
"114","Cole Kmet","CHI","14","TE12","115","116","115.5"
"115","Evan McPherson","CIN","10","K2","102","133","117.5"
"116","Garrett Wilson","NYJ","10","WR47","120","120","120.0"
"117","Mike Gesicki","CIN","10","TE13","129","113","121.0"
"118","San Francisco 49ers","DST","9","DST3","121","121","121.0"
"119","Michael Carter","ARI","13","RB40","124","119","121.5"
"120","Baltimore Ravens","DST","10","DST4","119","125","122.0"
"121","James Robinson","","","RB41","122","123","122.5"
