"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Saquon Barkley","PHI","9","RB1","3","2","2","4","","2.8"
"3","Bijan Robinson","ATL","5","RB2","2","4","5","2","","3.0"
"4","Justin Jefferson","MIN","6","WR2","4","3","4","6","","4.6"
"5","Jahmyr Gibbs","DET","8","RB3","5","5","6","3","","4.6"
"6","CeeDee Lamb","DAL","10","WR3","6","7","3","5","","5.2"
"7","Amon-Ra St. Brown","DET","8","WR4","8","6","9","11","","8.8"
"8","Puka Nacua","LAR","8","WR5","9","8","7","10","","9.2"
"9","Christian McCaffrey","SF","14","RB4","7","14","12","7","","9.4"
"10","Ashton Jeanty","LV","8","RB5","10","11","11","8","","9.6"
"11","Malik Nabers","NYG","14","WR6","11","9","10","9","","9.6"
"12","Derrick Henry","BAL","7","RB6","13","10","8","13","","11.6"
"13","De'Von Achane","MIA","12","RB7","12","16","13","12","","12.8"
"14","Nico Collins","HOU","6","WR7","14","12","16","16","","14.2"
"15","Brian Thomas Jr.","JAC","8","WR8","16","13","14","15","","14.6"
"16","Josh Jacobs","GB","5","RB8","18","20","17","14","","17.4"
"17","A.J. Brown","PHI","9","WR9","15","18","15","23","","17.4"
"18","Brock Bowers","LV","8","TE1","19","15","18","21","","18.6"
"19","Drake London","ATL","5","WR10","22","17","20","20","","19.2"
"20","Jonathan Taylor","IND","11","RB9","17","25","22","19","","20.4"
"21","Bucky Irving","TB","9","RB10","23","19","25","17","","21.2"
"22","Lamar Jackson","BAL","7","QB1","21","24","19","26","","23.0"
"23","Josh Allen","BUF","7","QB2","20","21","21","28","","23.8"
"24","Kyren Williams","LAR","8","RB11","26","28","24","22","","24.2"
"25","Ladd McConkey","LAC","12","WR11","30","22","23","27","","25.0"
"26","Trey McBride","ARI","8","TE2","24","23","26","29","","26.0"
"27","Chase Brown","CIN","10","RB12","33","29","34","18","","27.6"
"28","Tyreek Hill","MIA","12","WR12","27","27","37","25","","28.6"
"29","Tee Higgins","CIN","10","WR13","28","30","31","38","","30.6"
"30","Jayden Daniels","WAS","12","QB3","25","31","28","33","","30.8"
"31","James Cook","BUF","7","RB13","32","35","29","30","","31.6"
"32","Jaxon Smith-Njigba","SEA","8","WR14","36","26","39","32","","32.6"
"33","Breece Hall","NYJ","9","RB14","49","34","30","24","","34.0"
"34","Garrett Wilson","NYJ","9","WR15","39","32","36","36","","34.8"
"35","Joe Burrow","CIN","10","QB4","31","40","35","41","","36.6"
"36","Terry McLaurin","WAS","12","WR16","40","33","27","43","","37.2"
"37","George Kittle","SF","14","TE3","34","38","38","42","","37.4"
"38","Davante Adams","LAR","8","WR17","35","42","41","37","","37.8"
"39","Jalen Hurts","PHI","9","QB5","29","39","33","45","","38.0"
"40","Alvin Kamara","NO","11","RB15","37","43","46","31","","39.2"
"41","Kenneth Walker III","SEA","8","RB16","38","45","42","35","","39.6"
"42","Mike Evans","TB","9","WR18","43","37","32","48","","40.2"
"43","Marvin Harrison Jr.","ARI","8","WR19","42","36","43","40","","40.2"
"44","Omarion Hampton","LAC","12","RB17","47","44","50","34","","44.8"
"45","Chuba Hubbard","CAR","14","RB18","45","47","52","39","","45.6"
"46","Rashee Rice","KC","10","WR20","58","41","40","55","","47.2"
"47","James Conner","ARI","8","RB19","48","52","49","46","","48.4"
"48","DJ Moore","CHI","5","WR21","54","46","48","47","","49.2"
"49","Joe Mixon","HOU","6","RB20","51","49","47","52","","49.4"
"50","DK Metcalf","PIT","5","WR22","44","48","58","54","","50.8"
"51","Sam LaPorta","DET","8","TE4","41","50","44","62","","51.6"
"52","Courtland Sutton","DEN","12","WR23","59","51","55","51","","53.6"
"53","Patrick Mahomes II","KC","10","QB6","46","59","45","65","","54.4"
"54","DeVonta Smith","PHI","9","WR24","62","53","53","59","","56.4"
"55","Xavier Worthy","KC","10","WR25","50","55","67","66","","56.8"
"56","D'Andre Swift","CHI","5","RB21","55","77","61","44","","58.2"
"57","David Montgomery","DET","8","RB22","60","56","64","58","","59.2"
"58","Zay Flowers","BAL","7","WR26","56","54","69","64","","61.0"
"59","RJ Harvey","DEN","12","RB23","77","60","70","49","","61.8"
"60","TreVeyon Henderson","NE","14","RB24","73","65","66","50","","62.0"
"61","T.J. Hockenson","MIN","6","TE5","53","57","51","74","","62.0"
"62","Jameson Williams","DET","8","WR27","65","58","54","67","","62.0"
"63","Travis Hunter","JAC","8","WR28","61","62","59","73","","63.0"
"64","Travis Kelce","KC","10","TE6","57","68","57","68","","64.0"
"65","Aaron Jones Sr.","MIN","6","RB25","66","69","74","57","","65.0"
"66","Baker Mayfield","TB","9","QB7","52","72","60","77","","66.8"
"67","Isiah Pacheco","KC","10","RB26","74","64","62","61","","67.4"
"68","George Pickens","DAL","10","WR29","63","61","77","71","","67.8"
"69","Tetairoa McMillan","CAR","14","WR30","75","63","78","56","","68.2"
"70","Calvin Ridley","TEN","10","WR31","64","75","71","63","","68.8"
"71","Kaleb Johnson","PIT","5","RB27","72","80","80","53","","70.0"
"72","Tony Pollard","TEN","10","RB28","87","76","82","60","","73.8"
"73","Jerry Jeudy","CLE","9","WR32","69","73","101","69","","75.0"
"74","Jaylen Waddle","MIA","12","WR33","67","66","87","78","","75.4"
"75","Bo Nix","DEN","12","QB8","68","78","65","88","","76.4"
"76","Mark Andrews","BAL","7","TE7","71","81","56","95","","77.4"
"77","Chris Godwin","TB","9","WR34","90","74","84","72","","77.6"
"78","Chris Olave","NO","11","WR35","89","67","86","75","","79.8"
"79","Jordan Addison","MIN","6","WR36","91","71","90","86","","82.4"
"80","Brian Robinson Jr.","WAS","12","RB29","92","85","91","76","","83.2"
"81","Rome Odunze","CHI","5","WR37","76","79","93","90","","85.2"
"82","Evan Engram","DEN","12","TE8","80","89","75","89","","87.0"
"83","Kyler Murray","ARI","8","QB9","78","98","81","97","","87.8"
"84","David Njoku","CLE","9","TE9","70","95","85","110","","88.2"
"85","Deebo Samuel Sr.","WAS","12","WR38","99","86","97","81","","88.2"
"86","Cooper Kupp","SEA","8","WR39","79","88","105","85","","89.4"
"87","Stefon Diggs","NE","14","WR40","85","91","95","91","","90.6"
"88","Quinshon Judkins","CLE","9","RB30","136","70","88","84","","91.0"
"89","Tyrone Tracy Jr.","NYG","14","RB31","97","84","106","70","","91.0"
"90","Jaylen Warren","PIT","5","RB32","102","90","109","80","","93.4"
"91","Cam Skattebo","NYG","14","RB33","95","100","98","82","","93.8"
"92","Khalil Shakir","BUF","7","WR41","101","83","99","99","","93.8"
"93","Jakobi Meyers","LV","8","WR42","86","82","124","101","","94.6"
"94","Jauan Jennings","SF","14","WR43","105","92","108","87","","97.0"
"95","Travis Etienne Jr.","JAC","8","RB34","122","93","114","79","","100.0"
"96","Matthew Golden","GB","5","WR44","88","97","125","93","","102.4"
"97","Javonte Williams","DAL","10","RB35","94","105","140","83","","103.8"
"98","Brock Purdy","SF","14","QB10","82","108","103","124","","105.4"
