"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","45.5","14.0","12.8","21.2","2.7","0.5","343.8","5,799.3","116.4"
"Denver Broncos","","52.0","12.6","11.1","15.7","2.6","0.5","341.9","5,419.6","116.0"
"Philadelphia Eagles","","45.5","13.5","13.3","22.6","2.7","0.0","344.3","5,518.8","115.5"
"Houston Texans","","47.5","15.4","10.0","14.1","2.7","0.5","348.3","5,456.7","115.4"
"Baltimore Ravens","","52.4","13.9","9.7","13.7","2.3","0.5","340.6","5,344.8","114.5"
"Dallas Cowboys","","51.8","12.0","10.3","16.5","2.6","0.0","396.8","5,923.6","111.6"
"Pittsburgh Steelers","","43.8","13.8","12.1","20.1","2.5","0.0","347.8","5,683.1","110.6"
"Green Bay Packers","","46.1","12.5","11.7","18.4","2.2","0.5","362.7","5,642.6","108.6"
"Minnesota Vikings","","45.7","13.5","10.3","15.2","2.5","0.0","356.8","5,303.5","108.4"
"New York Giants","","50.6","10.5","11.9","19.2","2.1","0.0","420.4","5,861.0","108.1"
"Detroit Lions","","43.1","13.8","9.6","14.6","2.5","0.0","374.8","5,788.2","104.7"
"San Francisco 49ers","","43.1","13.5","8.9","14.1","2.3","1.0","383.7","5,620.2","103.7"
"Los Angeles Chargers","","46.8","12.4","9.9","15.3","2.1","0.0","370.5","5,797.8","103.5"
"Tampa Bay Buccaneers","","44.3","11.7","11.0","16.7","2.0","0.5","373.7","5,732.8","102.9"
"Kansas City Chiefs","","45.5","12.0","9.3","13.8","2.2","0.5","347.4","5,574.8","102.6"
"Washington Commanders","","45.7","11.1","10.3","15.9","2.1","0.5","399.2","6,109.2","102.2"
"Los Angeles Rams","","44.6","12.8","8.7","14.3","2.3","0.5","375.2","5,919.1","102.0"
"Indianapolis Colts","","41.7","12.8","9.6","15.8","2.2","1.0","407.8","5,849.4","101.9"
"Chicago Bears","","40.5","13.2","10.2","17.3","2.2","0.5","386.8","5,917.7","101.4"
"Seattle Seahawks","","45.2","12.9","8.6","13.7","2.0","0.5","361.7","5,613.4","101.3"
"Cleveland Browns","","44.9","11.1","9.2","14.5","2.2","0.0","417.9","5,991.5","98.6"
"New York Jets","","43.1","12.3","9.5","14.3","1.8","0.5","386.9","5,391.7","98.5"
"Arizona Cardinals","","41.3","11.8","8.9","14.7","2.1","1.0","398.5","5,814.5","97.1"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","421.9","6,150.0","96.2"
"Miami Dolphins","","39.7","11.4","8.8","13.4","2.0","0.5","391.9","5,721.3","93.2"
"Atlanta Falcons","","39.2","11.7","8.8","14.0","1.9","0.5","411.1","6,013.5","92.7"
"Las Vegas Raiders","","42.1","11.1","7.9","12.4","1.9","0.5","418.4","5,788.1","92.7"
"Jacksonville Jaguars","","39.0","11.9","8.2","11.2","2.0","0.0","412.6","5,824.9","90.9"
"New Orleans Saints","","37.9","13.1","7.6","9.7","1.8","0.0","388.9","5,844.3","90.2"
"Tennessee Titans","","39.2","11.0","8.6","13.9","1.7","0.5","421.3","5,735.3","89.8"
"New England Patriots","","36.1","11.5","8.2","11.7","1.6","0.0","401.6","5,513.4","85.3"
"Carolina Panthers","","34.7","11.2","7.8","11.4","1.7","0.0","442.3","6,335.8","82.8"
""
""
