"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","33.5","37.3","41.2","141.6"
"Matt Gay","WAS","29.9","35.3","47.3","137.1"
"Chase McLaughlin","TB","30.1","32.6","46.1","136.4"
"Jake Elliott","PHI","29.3","34.2","46.2","134.1"
"Jason Sanders","MIA","31.0","35.0","40.3","133.4"
"Cameron Dicker","LAC","31.5","34.3","38.1","132.7"
"Tyler Bass","BUF","27.0","32.9","51.1","132.2"
"Tyler Loop","BAL","27.4","32.5","47.5","129.6"
"Evan McPherson","CIN","27.4","33.6","47.2","129.5"
"Jake Bates","DET","26.9","30.3","48.4","129.0"
"Ka'imi Fairbairn","HOU","30.7","34.7","36.5","128.4"
"Harrison Butker","KC","28.7","33.3","42.3","128.3"
"Brandon McManus","GB","27.7","32.3","44.3","127.3"
"Younghoe Koo","ATL","28.0","34.4","42.2","126.2"
"Chris Boswell","PIT","30.2","33.7","35.4","126.0"
"Wil Lutz","DEN","28.4","32.3","39.6","124.7"
"Joshua Karty","LAR","28.7","34.0","38.6","124.6"
"Will Reichard","MIN","28.0","33.4","40.5","124.5"
"Jake Moody","SF","27.7","34.7","40.3","123.5"
"Chad Ryland","ARI","28.1","33.3","38.9","123.1"
"Daniel Carlson","LV","29.6","34.1","32.6","121.3"
"Cam Little","JAC","27.3","30.7","36.3","118.4"
"Jason Myers","SEA","27.4","31.1","34.1","116.2"
"Cairo Santos","CHI","26.3","30.7","36.9","116.0"
"Ryan Fitzgerald","CAR","27.6","33.2","32.8","115.5"
"Spencer Shrader","IND","26.1","31.1","35.5","113.9"
"Harrison Mevis","NYJ","27.7","33.4","29.6","112.7"
"Blake Grupe","NO","26.8","31.5","30.5","111.0"
"Joey Slye","TEN","25.8","31.8","31.8","109.3"
"Andy Borregales","NE","24.5","29.1","31.6","105.1"
"Graham Gano","NYG","24.3","28.8","30.5","103.5"
"Dustin Hopkins","CLE","22.9","29.2","24.6","93.2"
"Nick Folk","NYJ","16.3","18.3","17.5","66.5"
"Matthew Wright","CAR","14.7","17.0","18.0","62.0"
"Jude McAtamney","NYG","0.0","0.0","0.0","0.0"
"Parker Romo","NE","0.0","0.0","0.0","0.0"
"Greg Joseph","SF","0.0","0.0","0.0","0.0"
""
""
