"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","328.1","1,662.8","10.8","41.4","316.0","2.2","1.4","273.2"
"Bijan Robinson","ATL","299.3","1,399.3","11.3","55.3","417.7","2.2","1.4","259.5"
"Jahmyr Gibbs","DET","239.8","1,244.5","11.7","56.6","502.4","2.8","1.3","259.0"
"Derrick Henry","BAL","306.1","1,553.9","13.7","16.3","153.9","0.9","1.4","255.7"
"Christian McCaffrey","SF","239.1","1,085.0","8.1","65.2","571.6","3.6","1.8","231.7"
"Josh Jacobs","GB","296.6","1,250.6","11.2","37.5","311.3","1.5","1.5","229.4"
"Jonathan Taylor","IND","310.3","1,399.8","9.9","25.5","191.4","1.1","1.6","221.8"
"De'Von Achane","MIA","218.7","1,015.1","7.6","69.1","513.7","4.1","1.3","220.5"
"Ashton Jeanty","LV","273.0","1,207.9","9.0","45.1","355.0","1.9","2.4","216.6"
"Kyren Williams","LAR","283.7","1,207.5","11.2","33.6","213.5","1.7","2.3","214.8"
"Bucky Irving","TB","246.6","1,155.3","8.6","44.4","344.4","1.7","1.4","209.0"
"James Cook","BUF","234.7","1,074.0","10.0","31.6","261.6","1.9","1.4","202.0"
"Chase Brown","CIN","231.3","971.2","7.9","53.1","370.3","2.7","1.4","194.8"
"Breece Hall","NYJ","223.9","1,008.1","6.1","51.0","407.5","2.2","1.9","187.4"
"James Conner","ARI","224.2","1,014.4","8.1","40.4","308.4","1.5","1.5","186.9"
"Kenneth Walker III","SEA","244.9","987.6","8.3","43.6","311.8","1.3","1.3","184.7"
"Omarion Hampton","LAC","213.3","940.7","8.1","38.6","292.5","1.7","1.7","178.2"
"Alvin Kamara","NO","215.6","891.5","5.1","62.4","469.6","2.0","1.3","176.4"
"Chuba Hubbard","CAR","238.7","1,059.0","7.5","37.4","227.5","1.1","1.8","176.3"
"Joe Mixon","HOU","226.3","878.2","8.0","34.8","272.1","1.4","0.9","169.8"
"Aaron Jones Sr.","MIN","209.8","944.3","4.8","45.6","344.0","2.4","1.8","168.4"
"D'Andre Swift","CHI","238.6","966.8","6.1","37.1","286.1","1.3","1.1","167.4"
"David Montgomery","DET","196.5","821.0","9.2","30.3","249.3","0.9","1.0","165.8"
"Tony Pollard","TEN","227.4","958.2","5.2","38.4","244.9","0.9","1.0","154.6"
"TreVeyon Henderson","NE","202.7","897.5","5.5","31.7","245.2","1.3","1.7","151.6"
"Kaleb Johnson","PIT","212.4","887.2","6.4","25.9","197.6","1.1","1.7","150.1"
"Brian Robinson Jr.","WAS","205.4","832.9","7.2","25.3","195.1","1.1","1.4","149.4"
"Isiah Pacheco","KC","203.2","841.0","5.7","33.3","230.4","1.1","1.0","146.0"
"Tyrone Tracy Jr.","NYG","189.8","808.1","5.1","35.6","269.5","1.2","1.6","142.3"
"RJ Harvey","DEN","164.6","738.7","5.0","31.1","238.7","1.4","1.0","133.7"
"Quinshon Judkins","CLE","190.4","760.4","4.8","23.6","177.6","0.9","1.6","125.3"
"Javonte Williams","DAL","185.0","674.4","4.5","38.7","249.8","1.2","1.0","124.1"
"J.K. Dobbins","DEN","157.9","683.7","5.3","27.8","176.5","1.0","1.2","121.4"
"Jaylen Warren","PIT","135.1","628.3","3.5","45.5","332.1","1.0","1.0","120.9"
"Najee Harris","LAC","156.9","617.5","5.4","23.9","172.3","0.9","0.8","114.7"
"Travis Etienne Jr.","JAC","148.0","600.8","3.8","35.6","263.8","1.1","0.9","113.9"
"Rhamondre Stevenson","NE","156.8","636.7","4.8","27.6","173.9","1.1","1.5","113.1"
"Austin Ekeler","WAS","100.3","432.1","4.2","43.4","356.9","1.6","1.0","111.7"
"Jordan Mason","MIN","154.0","709.7","4.3","16.2","120.6","0.5","0.7","110.8"
"Cam Skattebo","NYG","136.9","581.9","4.0","27.9","213.2","1.1","1.3","107.2"
"Tank Bigsby","JAC","162.1","645.9","4.8","16.0","116.3","0.4","1.2","105.1"
"Zach Charbonnet","SEA","117.8","505.6","4.0","32.8","240.6","0.9","0.8","102.8"
"Rachaad White","TB","110.9","451.0","2.8","39.8","300.1","2.2","1.3","102.5"
"Tyjae Spears","TEN","124.5","498.0","3.7","32.8","245.1","1.0","0.9","100.6"
"Dylan Sampson","CLE","126.2","504.2","2.8","25.0","192.3","1.0","0.8","90.6"
"Jerome Ford","CLE","119.6","506.6","2.7","28.2","192.5","0.9","0.8","90.4"
"Nick Chubb","HOU","122.6","502.1","3.9","9.9","75.4","0.6","0.5","84.1"
"Trey Benson","ARI","124.0","530.8","3.3","12.7","94.3","0.5","0.9","84.0"
"Tyler Allgeier","ATL","117.3","530.2","3.2","12.0","87.8","0.3","0.8","81.7"
"Isaac Guerendo","SF","104.9","469.3","3.7","11.1","96.2","0.4","0.9","79.2"
"Bhayshul Tuten","JAC","99.8","425.9","3.0","18.0","145.4","0.9","0.8","78.9"
"Rico Dowdle","CAR","106.2","452.3","2.4","18.8","128.8","1.1","0.8","77.2"
"Roschon Johnson","CHI","96.5","331.7","4.7","19.5","127.2","0.5","0.4","76.0"
"Ray Davis","BUF","100.1","424.0","2.8","12.2","108.5","1.0","0.8","74.6"
"Jaydon Blue","DAL","95.2","432.9","2.6","15.3","122.9","0.6","0.8","73.5"
"Jaylen Wright","MIA","116.2","471.3","2.8","13.1","90.5","0.5","1.5","73.3"
"MarShawn Lloyd","GB","102.9","400.7","3.1","14.0","112.5","0.7","0.8","72.5"
"Braelon Allen","NYJ","100.4","378.6","2.5","17.1","129.1","0.8","0.4","70.2"
"Kareem Hunt","KC","82.3","296.3","3.1","16.7","114.1","0.7","0.1","63.9"
"Miles Sanders","DAL","93.8","383.8","2.3","13.1","85.5","0.6","0.5","63.1"
"Kendre Miller","NO","99.2","356.4","3.3","10.0","74.4","0.2","0.5","62.9"
"Raheem Mostert","LV","77.5","299.5","2.6","17.4","126.7","0.6","0.8","60.2"
"Blake Corum","LAR","91.8","338.6","2.3","12.0","87.4","0.6","0.4","59.2"
"Justice Hill","BAL","39.2","177.8","1.0","27.3","221.4","1.7","0.8","54.0"
"Ty Johnson","BUF","45.7","208.3","1.0","15.1","165.2","1.4","0.1","51.7"
