"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"George Kittle","SF","76.0","1,039.3","7.5","0.5","147.8"
"Brock Bowers","LV","103.2","1,103.9","5.8","0.5","145.1"
"Trey McBride","ARI","99.2","1,002.8","5.4","0.5","131.7"
"Mark Andrews","BAL","59.7","716.6","7.8","0.8","116.9"
"Sam LaPorta","DET","68.2","770.6","6.7","0.4","116.4"
"Travis Kelce","KC","81.4","768.9","5.3","0.9","107.1"
"T.J. Hockenson","MIN","73.9","783.1","4.7","0.5","105.8"
"David Njoku","CLE","76.1","730.6","4.9","0.8","100.6"
"Tucker Kraft","GB","54.4","646.5","4.6","0.8","90.7"
"Tyler Warren","IND","58.4","649.0","4.3","1.1","89.3"
"Dallas Goedert","PHI","58.5","649.0","4.0","0.5","88.0"
"Colston Loveland","CHI","56.7","602.0","4.2","0.8","83.8"
"Jake Ferguson","DAL","68.0","630.3","3.9","1.2","83.7"
"Zach Ertz","WAS","57.2","531.4","5.0","0.1","83.0"
"Evan Engram","DEN","68.3","607.3","4.0","0.9","82.8"
"Kyle Pitts Sr.","ATL","47.7","602.1","3.7","0.1","82.1"
"Dalton Kincaid","BUF","56.7","598.5","3.8","0.5","81.9"
"Cade Otton","TB","53.8","550.2","4.1","0.5","78.6"
"Hunter Henry","NE","55.4","574.3","3.6","0.4","78.5"
"Darren Waller","MIA","51.6","571.9","3.4","0.1","77.2"
"Isaiah Likely","BAL","41.9","495.1","4.8","0.7","77.0"
"Jonnu Smith","PIT","50.3","524.9","4.0","0.9","74.7"
"Mike Gesicki","CIN","53.5","528.5","3.6","0.4","73.4"
"Brenton Strange","JAC","54.6","539.9","3.3","0.5","72.7"
"Dalton Schultz","HOU","49.9","516.6","3.1","0.4","69.6"
"Juwan Johnson","NO","47.7","493.9","3.3","0.2","68.9"
"Pat Freiermuth","PIT","48.0","466.8","3.5","0.9","66.0"
"Chig Okonkwo","TEN","51.6","509.6","2.7","0.8","65.9"
