"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","119.5","1,545.7","12.0","1.6","11.5","0.0","0.6","226.6"
"Justin Jefferson","MIN","103.4","1,444.7","9.2","0.5","3.6","0.0","0.6","199.0"
"Puka Nacua","LAR","105.7","1,373.6","6.6","10.7","61.4","0.6","0.6","185.5"
"CeeDee Lamb","DAL","109.8","1,328.9","7.6","9.2","59.3","0.3","1.0","184.5"
"Brian Thomas Jr.","JAC","90.7","1,268.2","8.4","3.8","25.3","0.0","0.6","178.5"
"Nico Collins","HOU","89.4","1,281.3","8.5","0.0","1.4","0.0","0.5","178.3"
"Amon-Ra St. Brown","DET","108.9","1,249.8","8.9","1.9","12.6","0.1","0.9","178.3"
"Malik Nabers","NYG","104.8","1,279.1","7.7","2.6","11.6","0.0","0.6","174.4"
"Ladd McConkey","LAC","93.6","1,249.0","7.6","0.0","1.4","0.0","0.7","169.5"
"A.J. Brown","PHI","80.9","1,195.7","8.2","0.0","0.0","0.0","0.9","166.7"
"Mike Evans","TB","79.1","1,067.9","9.9","0.0","0.0","0.0","0.5","165.1"
"Drake London","ATL","92.8","1,161.0","7.8","0.3","2.0","0.0","0.6","162.0"
"Tyreek Hill","MIA","92.0","1,136.3","7.5","7.2","33.3","0.1","0.6","161.5"
"Tee Higgins","CIN","85.7","1,087.9","8.8","0.0","0.0","0.0","0.9","159.7"
"Terry McLaurin","WAS","82.7","1,104.0","8.4","1.1","4.6","0.0","0.9","159.3"
"Davante Adams","LAR","84.8","1,086.9","8.3","0.3","0.0","0.0","0.5","157.2"
"Marvin Harrison Jr.","ARI","78.2","1,083.9","7.7","0.0","0.0","0.0","1.0","152.7"
"DK Metcalf","PIT","75.6","1,109.7","7.3","0.0","0.0","0.0","1.3","151.9"
"Jaxon Smith-Njigba","SEA","92.7","1,084.9","6.4","2.6","17.7","0.0","0.6","147.9"
"Zay Flowers","BAL","74.7","1,023.1","6.3","8.2","48.4","0.1","0.5","144.6"
"Xavier Worthy","KC","69.8","860.2","7.0","15.7","84.5","1.3","0.5","143.6"
"Courtland Sutton","DEN","75.9","1,006.7","7.4","0.0","0.2","0.0","0.9","143.4"
"Jameson Williams","DET","59.3","955.1","6.0","7.4","64.2","0.8","0.5","141.5"
"Garrett Wilson","NYJ","91.5","1,064.6","5.9","1.9","13.3","0.0","1.3","140.6"
"DJ Moore","CHI","86.9","1,000.3","6.1","9.5","53.2","0.1","0.9","140.6"
"Calvin Ridley","TEN","69.5","1,011.1","6.0","5.6","36.0","0.3","0.9","140.6"
"DeVonta Smith","PHI","79.0","963.5","6.8","0.3","1.2","0.0","0.5","136.0"
"George Pickens","DAL","66.6","985.7","6.0","1.0","6.2","0.0","0.9","133.7"
"Jerry Jeudy","CLE","80.0","1,077.0","4.1","0.3","2.2","0.0","0.6","131.3"
"Deebo Samuel Sr.","WAS","64.6","814.4","5.1","30.1","132.4","1.2","1.0","130.6"
"Jauan Jennings","SF","70.8","933.6","5.7","3.6","14.6","0.1","0.6","128.3"
