,player_name,player_id,pro_team,projected_points,year,eligible_slots,proj_defensive0PointsAllowed,proj_defensive1To6PointsAllowed,proj_defensive7To13PointsAllowed,proj_defensive14To17PointsAllowed,proj_defensiveBlockedKickForTouchdowns,proj_defensiveTouchdowns,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveBlockedKicks,proj_defensiveSafeties,proj_defensiveSacks,proj_100,proj_kickoffReturnTouchdowns,proj_puntReturnTouchdowns,proj_interceptionReturnTouchdowns,proj_fumbleReturnTouchdowns,proj_defensivePlusSpecialTeamsTouchdowns,proj_defensiveForcedFumbles,proj_defensiveTotalTackles,proj_110,proj_111,proj_112,proj_defensivePassesDefensed,proj_kickoffReturnYards,proj_puntReturnYards,proj_116,proj_117,proj_puntsReturned,proj_defensivePointsAllowed,proj_defensive18To21PointsAllowed,proj_defensive22To27PointsAllowed,proj_defensive28To34PointsAllowed,proj_defensive35To45PointsAllowed,proj_defensive45PlusPointsAllowed,proj_126,proj_defensiveYardsAllowed,proj_defensive100To199YardsAllowed,proj_defensive200To299YardsAllowed,proj_defensive300To349YardsAllowed,proj_defensive350To399YardsAllowed,proj_defensive400To449YardsAllowed,proj_defensive450To499YardsAllowed,proj_defensive500To549YardsAllowed,proj_defensive550PlusYardsAllowed,proj_137,proj_210,proj_madeFieldGoalsFrom50Plus,proj_attemptedFieldGoalsFrom50Plus,proj_missedFieldGoalsFrom50Plus,proj_madeFieldGoalsFrom40To49,proj_attemptedFieldGoalsFrom40To49,proj_missedFieldGoalsFrom40To49,proj_madeFieldGoalsFromUnder40,proj_attemptedFieldGoalsFromUnder40,proj_missedFieldGoalsFromUnder40,proj_madeFieldGoals,proj_attemptedFieldGoals,proj_missedFieldGoals,proj_madeExtraPoints,proj_attemptedExtraPoints,proj_missedExtraPoints,proj_198,proj_199,proj_200,proj_214,proj_215,proj_216,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_rushing2PtConversions,proj_rushing40PlusYardTD,proj_rushing50PlusYardTD,proj_rushing100To199YardGame,proj_rushing200PlusYardGame,proj_rushingYardsPerAttempt,proj_receivingYards,proj_receivingTouchdowns,proj_receiving2PtConversions,proj_receiving40PlusYardTD,proj_receiving50PlusYardTD,proj_47,proj_48,proj_receivingReceptions,proj_receiving100To199YardGame,proj_receiving200PlusYardGame,proj_receivingTargets,proj_receivingYardsPerReception,proj_2PtConversions,proj_fumbleRecoveredForTD,proj_66,proj_67,proj_fumbles,proj_70,proj_71,proj_lostFumbles,proj_turnovers,proj_212,proj_213,proj_27,proj_28,proj_29,proj_30,proj_33,proj_34,proj_49,proj_50,proj_119,proj_passingAttempts,proj_passingCompletions,proj_passingIncompletions,proj_passingYards,proj_passingTouchdowns,proj_5,proj_6,proj_7,proj_8,proj_9,proj_10,proj_11,proj_12,proj_passing40PlusYardTD,proj_passing50PlusYardTD,proj_passing300To399YardGame,proj_passing400PlusYardGame,proj_passing2PtConversions,proj_passingInterceptions,proj_passingCompletionPercentage,proj_passingTimesSacked,proj_65,proj_69,proj_211
0,George Kittle,3040151,SF,226.9,2025,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DK Metcalf,4047650,PIT,240.35,2025,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alvin Kamara,3054850,NO,265.78,2025,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Quinshon Judkins,4685702,CLE,48.9,2025,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bills D/ST,-16002,BUF,111.93,2025,"['D/ST', 'BE', 'IR']",0.01110222,0.050010002,0.179035807,0.168033607,0.00669,0.100534921,0.542191814,0.524056633,0.100504903,0.0132,2.156737767,4.313475534,0.031574984,0.008751492,0.068786206,0.031748715,0.147549216,0.806240974,60.46630523,20.0,12.0,3.143055433,3.674060466,81.78625769,12.70281483,8.0,3.0,1.0,20.92568507,0.145029006,0.213042609,0.154030806,0.071014203,0.00870174,20.92568507,347.9559577,0.018988607,0.179892065,0.200879472,0.242854287,0.191884869,0.10993404,0.042974215,0.012592445,347.9559577,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tyler Loop,4697745,BAL,140.26,2025,"['Rookie', 'K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.292003819,0.421635303,0.129631484,0.432631339,0.545184252,0.112552914,0.957039968,0.994274878,0.03723491,1.681675126,1.961094433,0.279419307,1.875367147,1.960551772,0.085184625,0.292003819,0.421635303,0.129631484,63.94781553,13.18202852,77.12984405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jayden Daniels,4426348,WSH,370.53,2025,"['QB', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Packers D/ST,-16009,GB,97.86,2025,"['D/ST', 'BE', 'IR']",0.014963467,0.067560805,0.228205385,0.196176559,0.006908176,0.1015259,0.636941082,0.351314986,0.101467483,0.013419905,2.326972532,4.653945065,0.02165561,0.008961936,0.069291367,0.032234533,0.139051621,0.540484594,61.79029319,20.0,12.0,2.084121031,3.946084061,78.64405774,11.50849658,7.0,3.0,1.0,18.96854803,0.145130618,0.188669803,0.115604044,0.039535582,0.004153738,18.96854803,299.9794462,0.041568588,0.3305454,0.253918966,0.213352031,0.109680974,0.035057845,0.013021485,0.00285471,299.9794462,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Andy Borregales,4569923,NE,128.88,2025,"['Rookie', 'K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.283570601,0.411119999,0.127549399,0.420353741,0.53158772,0.111233979,0.930458192,0.969478324,0.039020133,1.634382533,1.912186043,0.277803511,3.083486262,3.233008329,0.149522066,0.283570601,0.411119999,0.127549399,62.14247651,13.06380058,75.20627709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ravens D/ST,-16033,BAL,123.34,2025,"['D/ST', 'BE', 'IR']",0.008347496,0.037488753,0.143956813,0.147955613,0.0066,0.10247456,0.591074711,0.460755454,0.100995149,0.0131,2.790555144,5.581110289,0.019132137,0.007613315,0.069111501,0.03336306,0.13582103,0.708854545,60.2839265,20.0,12.0,1.632996683,4.600976452,82.76825676,19.30630582,8.0,3.0,1.0,22.63457557,0.144956513,0.230430871,0.181445566,0.093471958,0.011946416,22.63457557,338.859291,0.025,0.22,0.215,0.235,0.17,0.09,0.035,0.01,338.859291,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
