,player_name,player_id,pro_team,projected_points,year,eligible_slots,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_rushing2PtConversions,proj_27,proj_28,proj_29,proj_30,proj_31,proj_33,proj_34,proj_rushing40PlusYardTD,proj_rushing50PlusYardTD,proj_rushing100To199YardGame,proj_rushing200PlusYardGame,proj_rushingYardsPerAttempt,proj_receivingYards,proj_receivingTouchdowns,proj_receiving2PtConversions,proj_receiving40PlusYardTD,proj_receiving50PlusYardTD,proj_47,proj_48,proj_49,proj_50,proj_51,proj_receivingReceptions,proj_receiving100To199YardGame,proj_receiving200PlusYardGame,proj_receivingTargets,proj_receivingYardsPerReception,proj_2PtConversions,proj_fumbleRecoveredForTD,proj_66,proj_67,proj_fumbles,proj_70,proj_71,proj_lostFumbles,proj_turnovers,proj_210,proj_211,proj_212,proj_passingAttempts,proj_passingCompletions,proj_passingIncompletions,proj_passingYards,proj_passingTouchdowns,proj_5,proj_6,proj_7,proj_8,proj_9,proj_10,proj_11,proj_12,proj_passing40PlusYardTD,proj_passing50PlusYardTD,proj_passing300To399YardGame,proj_passing400PlusYardGame,proj_passing2PtConversions,proj_passingInterceptions,proj_passingCompletionPercentage,proj_passingTimesSacked,proj_65,proj_69,proj_madeFieldGoalsFrom50Plus,proj_attemptedFieldGoalsFrom50Plus,proj_missedFieldGoalsFrom50Plus,proj_madeFieldGoalsFrom40To49,proj_attemptedFieldGoalsFrom40To49,proj_missedFieldGoalsFrom40To49,proj_madeFieldGoalsFromUnder40,proj_attemptedFieldGoalsFromUnder40,proj_missedFieldGoalsFromUnder40,proj_madeFieldGoals,proj_attemptedFieldGoals,proj_missedFieldGoals,proj_madeExtraPoints,proj_attemptedExtraPoints,proj_missedExtraPoints,proj_198,proj_199,proj_200,proj_214,proj_215,proj_216,proj_defensive0PointsAllowed,proj_defensive1To6PointsAllowed,proj_defensive7To13PointsAllowed,proj_defensive14To17PointsAllowed,proj_defensiveBlockedKickForTouchdowns,proj_defensiveTouchdowns,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveBlockedKicks,proj_defensiveSafeties,proj_defensiveSacks,proj_100,proj_kickoffReturnTouchdowns,proj_puntReturnTouchdowns,proj_interceptionReturnTouchdowns,proj_fumbleReturnTouchdowns,proj_defensivePlusSpecialTeamsTouchdowns,proj_defensiveForcedFumbles,proj_defensiveTotalTackles,proj_110,proj_111,proj_112,proj_defensivePassesDefensed,proj_kickoffReturnYards,proj_puntReturnYards,proj_116,proj_117,proj_puntsReturned,proj_119,proj_defensivePointsAllowed,proj_defensive18To21PointsAllowed,proj_defensive22To27PointsAllowed,proj_defensive28To34PointsAllowed,proj_defensive35To45PointsAllowed,proj_defensive45PlusPointsAllowed,proj_126,proj_defensiveYardsAllowed,proj_defensive100To199YardsAllowed,proj_defensive200To299YardsAllowed,proj_defensive300To349YardsAllowed,proj_defensive350To399YardsAllowed,proj_defensive400To449YardsAllowed,proj_defensive450To499YardsAllowed,proj_defensive500To549YardsAllowed,proj_defensive550PlusYardsAllowed,proj_137,proj_defensiveAssistedTackles,proj_defensiveSoloTackles
0,Jahmyr Gibbs,4429795,DET,364.39,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",283.1947246,80.82799674,14.51273367,0.273244119,274.0,137.0,68.0,54.0,27.0,56.0,28.0,0.59948219,0.419637533,4.874069256,0.166333284,4.852053465,32.16867932,3.380319991,0.074629614,0.069981742,0.045733068,109.0,54.0,27.0,21.0,10.0,67.79107028,0.488567423,0.015110333,86.04798031,8.066955517,0.347873734,0.011572102,2.122048052,0.507975242,2.630023294,0.976142104,0.284466135,1.260608239,1.260608239,17.0,76.49235599,30.76483786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bijan Robinson,4430807,ATL,351.85,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",286.668901,80.8278473,8.452487835,0.441015831,274.0,137.0,68.0,54.0,27.0,57.0,28.0,0.607772654,0.425440858,4.869358135,0.166172511,4.793241957,41.59517418,3.381926451,0.198559298,0.117903822,0.077050148,141.0,70.0,35.0,28.0,14.0,75.66594154,0.990339496,0.030629057,98.54693698,9.34526085,0.639575129,0.014597004,2.624711271,0.692789657,3.317500928,1.207367185,0.387962208,1.595329393,1.595329393,17.0,72.18541322,36.97951549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Puka Nacua,4426515,LAR,355.01,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",15.92117897,6.216871371,1.181059233,0.017712329,21.0,10.0,5.0,4.0,2.0,3.0,1.0,0.02945134,0.020615938,0.0282,0.000961,6.638127332,93.52573083,9.753616967,0.132880406,0.314827546,0.205739801,317.0,158.0,79.0,63.0,31.0,122.9659744,6.672021262,0.206351173,174.2726625,12.92989733,0.150592735,0.00767367,0.199923384,1.544092543,1.744015928,0.091964757,0.864691824,0.956656581,0.956656581,17.0,7.488283039,74.71093467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jaxon Smith-Njigba,4430878,SEA,325.33,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",4.600742311,1.480526645,0.165366141,0.004721541,5.0,2.0,1.0,1.0,,,,0.008458492,0.005920944,0.001457009,4.97e-05,5.470628709,92.30414491,8.537269795,0.310273175,0.356842189,0.233196371,313.0,156.0,78.0,62.0,31.0,116.7434852,6.551824298,0.202633741,166.3194291,13.44118227,0.314994716,0.009158927,0.078922473,2.002651734,2.081574207,0.036304338,1.121484971,1.157789309,1.157789309,17.0,3.324618032,72.22256954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amon-Ra St. Brown,4374302,DET,324.17,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",2.321268234,0.791373943,0.124298901,0.002340286,2.0,1.0,,,,,,0.00426237,0.002983659,0.000368602,1.26e-05,5.795692556,84.140447,10.41452782,0.229912505,0.247357384,0.161648051,286.0,143.0,71.0,57.0,28.0,118.0778096,5.624083412,0.173940724,166.7179619,12.11394083,0.232252791,0.006498306,0.028474076,1.448413623,1.476887699,0.013098075,0.811111629,0.824209704,0.824209704,17.0,2.759936162,69.46725907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ja'Marr Chase,4362628,CIN,335.56,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",4.073167392,1.240224826,0.143411048,0.00973609,4.0,2.0,1.0,,,,,0.007486388,0.005240472,0.000996081,3.4e-05,5.176271931,88.65569299,10.67681646,0.499512014,0.271758576,0.17759423,301.0,150.0,75.0,60.0,30.0,119.4557701,6.154539009,0.190346567,171.6136152,12.61677673,0.509248104,0.007446348,0.055802569,1.636549209,1.692351779,0.025669182,0.916467557,0.942136739,0.942136739,17.0,3.138262858,72.00531279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Christian McCaffrey,3117251,SF,342.83,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",274.2158771,66.52560068,9.147380281,0.453396771,226.0,113.0,56.0,45.0,22.0,54.0,27.0,0.578192264,0.404734585,3.326715098,0.113528023,4.124251388,40.32092738,4.843511131,0.24839813,0.099538425,0.065048361,137.0,68.0,34.0,27.0,13.0,78.80963556,0.910020302,0.028144958,100.0815291,8.697613694,0.701794901,0.010911403,1.926257865,0.553606458,2.479864323,0.886078618,0.310019616,1.196098234,1.196098234,17.0,63.73725699,37.69637339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Josh Allen,3918298,BUF,367.49,2026,"['QB', 'OP', 'BE', 'IR']",116.3671481,34.08552874,12.42919575,0.592268815,115.0,57.0,28.0,23.0,11.0,23.0,11.0,0.226921241,0.158844869,0.863916864,0.0295,4.979532437,,,,,,,,,,,,,,,,2.686404745,0.038823664,1.552654121,,8.823560075,0.714220896,,4.204255754,15.77710812,17.0,37.97310261,,508.8903644,340.1123125,168.7780519,232.0593839,26.21512507,789.0,394.0,197.0,157.0,78.0,39.0,68.0,34.0,3.118784648,2.038125767,2.880907749,0.389135099,2.094135929,11.57285237,0.668341034,36.04400206,7.270905954,3.490034858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CeeDee Lamb,4241389,DAL,293.19,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",2.211380636,0.740304742,0.105241555,0.003965795,2.0,1.0,,,,,,0.004060356,0.002842249,0.000318109,1.09e-05,5.691096504,81.11804854,8.556272039,0.30598071,0.264890364,0.173105853,275.0,137.0,68.0,55.0,27.0,103.8952285,5.249026796,0.162341035,158.3022398,13.27305253,0.309946505,0.005232003,0.024782001,1.16430956,1.189091561,0.01139972,0.652013354,0.663413074,0.663413074,17.0,2.709738599,64.05783116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jonathan Taylor,4242335,IND,316.93,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",327.1643646,88.8429394,11.61317317,0.569383045,302.0,151.0,75.0,60.0,30.0,65.0,32.0,0.707014472,0.49491013,5.91,0.202,4.616425667,22.3847244,1.40773637,0.111948261,0.058311742,0.038106723,76.0,38.0,19.0,15.0,7.0,51.30935733,0.19908719,0.006157336,62.87731717,7.416587043,0.681331306,0.013687531,2.689073613,0.421728812,3.110802425,1.236973862,0.236168135,1.473141997,1.473141997,17.0,81.60268502,21.61483903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Justin Jefferson,4262921,MIN,293.08,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",2.024689968,0.625246439,0.098135737,0.005568915,2.0,1.0,,,,,,0.003717189,0.002602032,0.000214,7.31e-06,5.249786208,80.91722129,7.370305292,0.432529769,0.21680642,0.141682996,275.0,137.0,68.0,55.0,27.0,110.7280637,5.223958098,0.161565714,165.9202057,12.42316281,0.438098684,0.0053696,0.021913948,1.198449664,1.220363612,0.010080416,0.671131812,0.681212228,0.681212228,17.0,2.627054479,65.03615283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,James Cook III,4379399,BUF,278.23,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",299.8943655,82.32814431,10.96521273,0.522429279,279.0,139.0,69.0,55.0,27.0,59.0,29.0,0.639951123,0.447965786,5.077956953,0.173291189,4.666904798,17.77209427,1.614790016,0.129848174,0.081956447,0.053558538,60.0,30.0,15.0,12.0,6.0,35.92963521,0.127007245,0.003928059,46.03224098,8.408813526,0.652277453,0.016772039,3.404001556,0.407825382,3.811826938,1.565840716,0.228382214,1.79422293,1.79422293,17.0,75.7233295,16.03159045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Trey McBride,4361307,ARI,241.69,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,60.23121307,5.362236116,0.294892588,0.098820303,0.064579068,204.0,102.0,51.0,40.0,20.0,107.8492964,2.668609425,0.082534312,148.9420572,9.494087177,0.294892588,0.003719689,,0.845383833,0.845383833,,0.473414946,0.473414946,0.473414946,17.0,,53.86139346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Brock Bowers,4432665,LV,239.08,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",4.183439368,0.913405822,0.195802547,0.011076361,3.0,1.0,,,,,,0.007689536,0.005382675,0.000512063,1.75e-05,3.711754277,58.58387938,6.550568248,0.417095109,0.132475878,0.086572986,199.0,99.0,49.0,39.0,19.0,98.42440251,2.488743695,0.076971454,135.4139212,10.11868931,0.428171471,0.002760508,0.025579339,0.601808934,0.627388273,0.011766496,0.337013003,0.348779499,0.348779499,17.0,2.99642267,51.42681785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,De'Von Achane,4429160,MIA,292.16,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",257.6589252,76.74329572,4.961029952,0.188227845,260.0,130.0,65.0,52.0,26.0,51.0,25.0,0.538804159,0.377162911,4.388496668,0.149762554,5.06342261,30.10541568,2.95883876,0.15522912,0.069892371,0.045674665,102.0,51.0,25.0,20.0,10.0,64.8093381,0.409652412,0.012669662,80.47472297,7.896887725,0.343456965,0.00875946,1.590680238,0.4001062,1.990786438,0.73171291,0.224059472,0.955772381,0.955772381,17.0,65.47550119,28.94560831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Brandon Aubrey,3953687,DAL,171.56,2026,"['K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.02552502,9.435272,2.40974698,9.2261031,10.783168,1.5570649,19.2313044,19.42556,0.1942556,35.48293252,39.644,4.16106748,45.99998358,46.93875875,0.938775175,7.02552502,9.435272,2.40974698,1371.492123,206.0219254,1577.514048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Saquon Barkley,3929630,PHI,272.9,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",300.6572188,75.70618761,8.710449337,0.260921265,257.0,128.0,64.0,51.0,25.0,60.0,30.0,0.641690966,0.449183676,4.281201211,0.146,4.280639576,21.8302808,2.294603946,0.102872799,0.067842051,0.04433478,74.0,37.0,18.0,14.0,7.0,43.12456422,0.188569795,0.005832056,58.97815234,8.605646929,0.363794064,0.009484973,1.885264101,0.270411577,2.155675678,0.867221486,0.151430483,1.01865197,1.01865197,17.0,70.28767278,19.85198931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Derrick Henry,3043078,BAL,274.23,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",317.0061528,87.17983018,13.11421726,0.339582714,296.0,148.0,74.0,59.0,29.0,63.0,31.0,0.68174173,0.477219211,5.668512322,0.193,4.675168289,12.38423906,1.205666633,0.039749044,0.144934587,0.094714753,42.0,21.0,10.0,8.0,4.0,21.40350151,0.078556433,0.00242958,27.98606706,9.836337479,0.379331759,0.013820977,2.942463033,0.198668106,3.141131138,1.353532995,0.111254139,1.464787134,1.464787134,17.0,81.1499303,10.02751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ashton Jeanty,4890973,LV,280.39,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",281.0552108,66.85000474,7.108730338,0.402125232,227.0,113.0,56.0,45.0,22.0,56.0,28.0,0.594455721,0.416119005,3.349162675,0.114,4.043511868,29.09313408,2.018271019,0.128544739,0.046926252,0.030666306,98.0,49.0,24.0,19.0,9.0,64.9486761,0.375732092,0.01162058,86.66490958,7.61498631,0.530669971,0.011255909,2.077966639,0.480194556,2.558161195,0.955864654,0.268908951,1.224773605,1.224773605,17.0,62.81916241,28.11820436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Lamar Jackson,3916387,BAL,321.96,2026,"['QB', 'OP', 'BE', 'IR']",122.1572163,39.45824889,3.682192552,0.095351363,134.0,67.0,33.0,26.0,13.0,24.0,12.0,0.238915222,0.167240655,1.156914744,0.039481062,5.491204296,,,,,,,,,,,,,,,,0.944304851,0.039930683,1.764076379,,9.07515513,0.811475134,,4.320792935,14.07026948,17.0,34.88795838,,466.8521688,302.8307578,164.021411,228.5867805,25.96991295,777.0,388.0,194.0,155.0,77.0,38.0,60.0,30.0,3.034818903,1.983254153,2.738541191,0.36990511,0.848953488,9.749476549,0.648665205,39.41901041,7.311078751,3.5093178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,George Pickens,4426354,DAL,238.69,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,65.54152628,8.15215769,0.291582508,0.294872894,0.192699436,222.0,111.0,55.0,44.0,22.0,79.94682988,3.285010844,0.101598274,124.3803313,13.93683713,0.291582508,0.007035321,,1.598936598,1.598936598,,0.895404495,0.895404495,0.895404495,17.0,,51.13178308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Drake London,4426502,ATL,268.77,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,73.44865446,7.288247844,0.427742108,0.17372839,0.113531503,249.0,124.0,62.0,49.0,24.0,101.9585939,4.271817299,0.132118061,158.7700651,12.24641375,0.427742108,0.00713842,,1.622368253,1.622368253,,0.908526222,0.908526222,0.908526222,17.0,,59.50253265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nico Collins,4258173,HOU,248.82,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",2.102056108,0.69403159,0.08172228,0.005914028,2.0,1.0,,,,,,0.003859386,0.00270157,0.000272856,9.31e-06,5.612855421,71.21124771,6.718834024,0.441798831,0.276466274,0.18067071,242.0,121.0,60.0,48.0,24.0,86.43515417,3.987316223,0.123319058,137.1448146,14.00577372,0.447712859,0.005307724,0.028640073,1.177660806,1.206300879,0.013174433,0.659490052,0.672664485,0.672664485,17.0,2.659001851,54.68250531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A.J. Brown,4047646,NE,247.95,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,71.47500385,6.927937891,0.265773112,0.347568329,0.227135903,243.0,121.0,60.0,48.0,24.0,85.9660154,4.020664194,0.124350439,129.692635,14.13436531,0.265773112,0.004480686,,1.018337798,1.018337798,,0.570269167,0.570269167,0.570269167,17.0,,54.78472606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
