"Rank","Player","Team","Bye","POS","ESPN","Sleeper","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB1","3","2","2.5"
"3","Ja'Marr Chase","CIN","7","WR2","2","3","2.5"
"4","Austin Ekeler","WAS","14","RB2","4","4","4.0"
"5","Travis Kelce","KC","10","TE1","5","5","5.0"
"6","Tyreek Hill","MIA","10","WR3","6","6","6.0"
"7","Bijan Robinson","ATL","11","RB3","7","8","7.5"
"8","Stefon Diggs","NE","11","WR4","11","7","9.0"
"9","Saquon Barkley","PHI","10","RB4","9","9","9.0"
"10","Davante Adams","LAR","10","WR5","8","14","11.0"
"11","Nick Chubb","HU","7 O","RB5","13","10","11.5"
"12","Patrick Mahomes II","KC","10","QB1","12","12","12.0"
"13","Derrick Henry","BAL","13","RB6","10","16","13.0"
"14","CeeDee Lamb","DAL","7","WR6","16","11","13.5"
"15","Cooper Kupp","SEA","5","WR7","14","15","14.5"
"16","A.J. Brown","PHI","10","WR8","19","13","16.0"
"17","Garrett Wilson","NYJ","7","WR9","17","18","17.5"
"18","Tony Pollard","TEN","7","RB7","15","21","18.0"
"19","Josh Jacobs","GB","6","RB8","18","19","18.5"
"20","Amon-Ra St. Brown","DET","9","WR10","21","17","19.0"
"21","Josh Allen","BUF","13","QB2","20","20","20.0"
"22","Jalen Hurts","PHI","10","QB3","22","23","22.5"
"23","Jaylen Waddle","MIA","10","WR11","25","22","23.5"
"24","Tee Higgins","CIN","7","WR12","26","25","25.5"
"25","Chris Olave","NO","11","WR13","28","24","26.0"
"26","DK Metcalf","PIT","6","WR14","24","31","27.5"
"27","DeVonta Smith","PHI","10","WR15","30","27","28.5"
"28","Travis Etienne Jr.","JAC","9","RB9","27","30","28.5"
"29","Najee Harris","LAC","5","RB10","29","28","28.5"
"30","Joe Mixon","HOU","7","RB11","23","36","29.5"
"31","Mark Andrews","BAL","13","TE2","36","26","31.0"
"32","Lamar Jackson","BAL","13","QB4","31","32","31.5"
"33","Rhamondre Stevenson","NE","11","RB12","37","29","33.0"
"34","Jahmyr Gibbs","DET","9","RB13","33","33","33.0"
"35","Joe Burrow","CIN","7 ","QB5","34","35","34.5"
"36","Aaron Jones Sr.","MIN","13","RB14","32","40","36.0"
"37","Calvin Ridley","TEN","7","WR16","38","34","36.0"
"38","Deebo Samuel Sr.","WAS","14","WR17","35","37","36.0"
"39","Keenan Allen","","","WR18","39","38","38.5"
"40","Amari Cooper","","","WR19","41","42","41.5"
"41","Breece Hall","NYJ","7","RB15","48","39","43.5"
