playerId,autoDraftTypeId,id,lineupSlotId,memberId,overallPickNumber,roundId,roundPickNumber,teamId
3117251,0,1,2,{REDACTED-ESPN-MEMBER-ID},1,1,1,3
4241389,0,2,4,{REDACTED-ESPN-MEMBER-ID},2,1,2,14
3929630,0,3,2,{REDACTED-ESPN-MEMBER-ID},3,1,3,1
3918298,0,4,0,{REDACTED-ESPN-MEMBER-ID},4,1,4,4
4427366,3,5,2,,5,1,5,8
3116406,0,6,4,{REDACTED-ESPN-MEMBER-ID},6,1,6,10
4430807,0,7,2,{REDACTED-ESPN-MEMBER-ID},7,1,7,6
4361529,0,8,2,{REDACTED-ESPN-MEMBER-ID},8,1,8,16
4047646,0,9,4,{REDACTED-ESPN-MEMBER-ID},9,1,9,11
3916387,0,10,0,{REDACTED-ESPN-MEMBER-ID},10,1,10,17
4362628,1,11,4,,11,1,11,12
4374302,3,12,4,,12,1,12,9
4262921,0,13,4,{REDACTED-ESPN-MEMBER-ID},13,1,13,15
4426515,0,14,4,{REDACTED-ESPN-MEMBER-ID},14,1,14,13
4429795,0,15,2,{REDACTED-ESPN-MEMBER-ID},15,2,1,13
3043078,0,16,2,{REDACTED-ESPN-MEMBER-ID},16,2,2,15
4242335,3,17,2,,17,2,3,9
4569618,1,18,4,,18,2,4,12
15847,0,19,6,{REDACTED-ESPN-MEMBER-ID},19,2,5,17
4040715,0,20,0,{REDACTED-ESPN-MEMBER-ID},20,2,6,11
3139477,0,21,0,{REDACTED-ESPN-MEMBER-ID},21,2,7,16
4430737,0,22,2,{REDACTED-ESPN-MEMBER-ID},22,2,8,6
3915511,0,23,0,{REDACTED-ESPN-MEMBER-ID},23,2,9,10
4432708,0,24,4,{REDACTED-ESPN-MEMBER-ID},24,2,10,8
2976212,0,25,4,{REDACTED-ESPN-MEMBER-ID},25,2,11,4
4429160,0,26,2,{REDACTED-ESPN-MEMBER-ID},26,2,12,1
4239996,0,27,2,{REDACTED-ESPN-MEMBER-ID},27,2,13,14
4047365,0,28,2,{REDACTED-ESPN-MEMBER-ID},28,2,14,3
