player_id,player_name,position,avg_points,overallPickNumber,lineupSlotId,roundPickNumber,roundId,vorp
4362628,Ja'Marr Chase,WR,23.18,11,4,11,1,14.9
3916387,Lamar Jackson,QB,24.35,10,0,10,1,13.92
3929630,Saquon Barkley,RB,21.31,3,2,3,1,13.03
4429795,Jahmyr Gibbs,RB,20.47,15,2,1,2,12.19
3918298,Josh Allen,QB,21.41,4,0,4,1,10.98
4430807,Bijan Robinson,RB,19.24,7,2,7,1,10.96
3116165,Chris Godwin,,19.14,53,4,11,4,10.86
3915511,Joe Burrow,QB,21.18,23,0,9,2,10.75
3043078,Derrick Henry,RB,19.0,16,2,2,2,10.72
3052587,Baker Mayfield,QB,20.71,169,20,1,13,10.28
4374302,Amon-Ra St. Brown,WR,18.24,12,4,12,1,9.96
4262921,Justin Jefferson,WR,18.18,13,4,13,1,9.9
3054850,Alvin Kamara,BE,18.14,37,2,9,3,9.86
4426348,Jayden Daniels,QB,20.18,91,0,7,7,9.75
4426515,Puka Nacua,WR,18.0,14,4,14,1,9.72
4239993,Tee Higgins,RB/WR/TE,18.0,55,23,13,4,9.72
4040715,Jalen Hurts,QB,20.07,20,0,6,2,9.64
4595348,Malik Nabers,WR,17.73,59,4,3,5,9.45
4258173,Nico Collins,BE,17.0,40,4,12,3,8.72
4241389,CeeDee Lamb,BE,16.87,2,4,2,1,8.59
4429160,De'Von Achane,RB,16.82,26,2,12,2,8.54
16800,Davante Adams,WR,16.79,30,4,2,3,8.51
4242335,Jonathan Taylor,BE,16.64,17,2,3,2,8.36
16737,Mike Evans,WR,16.57,41,4,13,3,8.29
4047365,Josh Jacobs,RB,16.47,28,2,14,2,8.19
3116385,Joe Mixon,RB,16.29,36,2,8,3,8.01
3046779,Jared Goff,BE,18.35,110,20,12,8,7.92
4430737,Kyren Williams,RB,16.12,22,2,8,2,7.84
4047646,A.J. Brown,WR,16.08,9,4,9,1,7.8
4426502,Drake London,BE,16.06,35,4,7,3,7.78
4379399,James Cook,RB,15.81,39,2,11,3,7.53
4426338,Bo Nix,BE,17.65,214,20,4,16,7.22
3121422,Terry McLaurin,WR,15.41,78,23,8,6,7.13
4035538,David Montgomery,BE,15.14,69,2,13,5,6.86
3045147,James Conner,RB,15.06,58,2,2,5,6.78
4241478,DeVonta Smith,RB/WR/TE,14.85,46,23,4,4,6.57
4361741,Brock Purdy,BE,17.0,103,20,5,8,6.57
2976212,Stefon Diggs,,14.62,25,4,11,2,6.34
3139477,Patrick Mahomes,QB,16.69,21,0,7,2,6.26
4569618,Garrett Wilson,WR,14.47,18,4,4,2,6.19
4567048,Kenneth Walker III,RB,14.33,51,2,9,4,6.05
3917315,Kyler Murray,QB,16.47,72,0,2,6,6.04
4427366,Breece Hall,RB,14.25,5,2,5,1,5.97
2977187,Cooper Kupp,WR,14.25,49,4,7,4,5.97
4430878,Jaxon Smith-Njigba,WR,14.24,79,23,9,6,5.96
4432773,Brian Thomas Jr.,RB/WR/TE,16.18,154,20,14,11,5.75
4428331,Rashee Rice,,16.0,83,20,13,6,5.57
4038941,Justin Herbert,BE,15.88,107,20,9,8,5.45
4241463,Jerry Jeudy,WR,13.71,85,23,1,7,5.43
4241479,Tua Tagovailoa,BE,15.82,99,0,1,8,5.39
4241416,Chuba Hubbard,RB,15.47,202,20,6,15,5.04
3915416,DJ Moore,WR,13.29,50,4,8,4,5.01
3042519,Aaron Jones,BE,13.29,52,2,10,4,5.01
4362238,Chase Brown,RB,15.19,151,20,11,11,4.76
3040151,George Kittle,TE,15.33,63,6,7,5,4.66
4361307,Trey McBride,TE,15.25,67,6,11,5,4.58
14881,Russell Wilson,BE,14.82,213,0,3,16,4.39
4036378,Jordan Love,QB,14.8,86,0,2,7,4.37
15864,Geno Smith,QB,14.71,207,0,11,15,4.28
4432665,Brock Bowers,TE,14.88,82,6,12,6,4.21
4612826,Ladd McConkey,WR,14.56,98,20,14,7,4.13
8439,Aaron Rodgers,QB,14.47,47,20,5,4,4.04
3116406,Tyreek Hill,WR,12.29,6,4,6,1,4.01
4047650,DK Metcalf,RB/WR/TE,12.13,45,23,3,4,3.85
4241985,J.K. Dobbins,BE,14.08,113,20,1,9,3.65
3916433,Jakobi Meyers,BE,14.07,139,20,13,10,3.64
4259545,D'Andre Swift,RB,11.88,32,2,4,3,3.6
3916148,Tony Pollard,BE,11.88,75,2,5,6,3.6
15818,Keenan Allen,BE,11.87,71,23,1,6,3.59
2577417,Dak Prescott,,14.0,89,0,5,7,3.57
4431611,Caleb Williams,BE,14.0,120,20,8,9,3.57
4429615,Zay Flowers,WR,11.82,61,23,5,5,3.54
4429084,Anthony Richardson,BE,13.91,31,0,3,3,3.48
4697815,Rachaad White,BE,11.69,43,2,1,4,3.41
3128429,Courtland Sutton,WR,13.76,119,20,7,9,3.33
4429205,Jordan Addison,WR,13.67,124,20,12,9,3.24
4426388,Jameson Williams,RB/WR/TE,13.6,118,20,6,9,3.17
16460,Adam Thielen,WR,13.6,150,20,10,11,3.17
4426354,George Pickens,BE,11.36,76,4,6,6,3.08
4360310,Trevor Lawrence,,13.5,116,20,4,9,3.07
4241457,Najee Harris,RB,11.29,66,2,10,5,3.01
4432708,Marvin Harrison Jr.,WR,11.18,24,4,10,2,2.9
3925357,Calvin Ridley,BE,11.12,70,4,14,5,2.84
4569173,Rhamondre Stevenson,RB,10.87,65,2,9,5,2.59
4685720,Bryce Young,,13.0,153,20,13,11,2.57
4362249,Jayden Reed,WR,10.82,87,23,3,7,2.54
3117251,Christian McCaffrey,,10.75,1,2,1,1,2.47
3123076,David Njoku,BE,13.09,56,6,14,4,2.42
12483,Matthew Stafford,QB,12.75,145,20,5,11,2.32
4688813,Josh Downs,BE,12.71,208,20,12,15,2.28
3917792,Daniel Jones,,12.7,147,20,7,11,2.27
4683062,Xavier Worthy,RB/WR/TE,10.41,84,4,14,6,2.13
3068267,Austin Ekeler,,10.25,81,2,11,6,1.97
14880,Kirk Cousins,BE,12.21,104,20,6,8,1.78
3121023,Dallas Goedert,BE,10.0,38,23,10,3,1.72
